# DTStamp_FHdata_calc_intgr_error (integration error) 2023-06-03 17:20:56 456733145 
# rtime[1], u[2], u_next[3], pos_x[4], pos_y[5], pos_r[6], deltaS[7], chordlength[8], diff_length[9], sum_deltaS[10], sum_chordlength[11], diff_sum[12], eps[13], rho[14]
 0.079  0.003751402  0.000047850 -0.556393 -0.560599  0.789839  0.009997959  0.009997959 -0.000000000  0.799838495  0.799838497 -0.000000002  0.000000121888   102.533918 
 0.080  0.003799252  0.000047859 -0.563409 -0.567723  0.799837  0.009997958  0.009997958 -0.000000000  0.809836453  0.809836455 -0.000000002  0.000000121940   102.489494 
 0.081  0.003847111  0.000047868 -0.570424 -0.574847  0.809834  0.009997958  0.009997958  0.000000000  0.819834411  0.819834413 -0.000000002  0.000000121993   102.445077 
 0.082  0.003894980  0.000047878 -0.577438 -0.581971  0.819832  0.009997957  0.009997957 -0.000000000  0.829832368  0.829832370 -0.000000002  0.000000122046   102.400668 
 0.083  0.003942857  0.000047887 -0.584451 -0.589097  0.829830  0.009997956  0.009997956 -0.000000000  0.839830324  0.839830326 -0.000000003  0.000000122099   102.356265 
 0.084  0.003990744  0.000047896 -0.591464 -0.596223  0.839828  0.009997955  0.009997956 -0.000000000  0.849828279  0.849828282 -0.000000003  0.000000122152   102.311870 
 0.085  0.004038640  0.000047905 -0.598476 -0.603349  0.849826  0.009997955  0.009997955  0.000000000  0.859826235  0.859826238 -0.000000003  0.000000122205   102.267482 
 0.086  0.004086546  0.000047915 -0.605487 -0.610477  0.859824  0.009997955  0.009997955  0.000000000  0.869824190  0.869824192 -0.000000003  0.000000122258   102.223101 
 0.087  0.004134460  0.000047924 -0.612498 -0.617605  0.869822  0.009997954  0.009997954 -0.000000000  0.879822144  0.879822147 -0.000000003  0.000000122311   102.178728 
 0.088  0.004182384  0.000047933 -0.619508 -0.624734  0.879820  0.009997953  0.009997954 -0.000000000  0.889820097  0.889820100 -0.000000003  0.000000122364   102.134362 
 0.089  0.004230317  0.000047942 -0.626517 -0.631863  0.889817  0.009997953  0.009997953 -0.000000000  0.899818050  0.899818053 -0.000000003  0.000000122417   102.090002 
 0.090  0.004278259  0.000047952 -0.633526 -0.638993  0.899815  0.009997953  0.009997952  0.000000000  0.909816002  0.909816006 -0.000000003  0.000000122471   102.045650 
 0.091  0.004326211  0.000047961 -0.640534 -0.646124  0.909813  0.009997951  0.009997952 -0.000000000  0.919813954  0.919813958 -0.000000004  0.000000122524   102.001306 
 0.092  0.004374172  0.000047970 -0.647541 -0.653256  0.919811  0.009997951  0.009997951 -0.000000000  0.929811905  0.929811909 -0.000000004  0.000000122577   101.956968 
 0.093  0.004422142  0.000047979 -0.654547 -0.660388  0.929809  0.009997951  0.009997951  0.000000000  0.939809856  0.939809860 -0.000000003  0.000000122630   101.912638 
 0.094  0.004470121  0.000047989 -0.661553 -0.667521  0.939807  0.009997950  0.009997950 -0.000000000  0.949807806  0.949807810 -0.000000004  0.000000122684   101.868315 
 0.095  0.004518110  0.000047998 -0.668558 -0.674654  0.949805  0.009997950  0.009997950  0.000000000  0.959805756  0.959805759 -0.000000003  0.000000122737   101.823999 
 0.096  0.004566108  0.000048007 -0.675562 -0.681789  0.959802  0.009997949  0.009997949 -0.000000000  0.969803705  0.969803708 -0.000000004  0.000000122791   101.779690 
 0.097  0.004614115  0.000048016 -0.682566 -0.688924  0.969800  0.009997948  0.009997948 -0.000000000  0.979801653  0.979801657 -0.000000004  0.000000122844   101.735389 
 0.098  0.004662131  0.000048026 -0.689569 -0.696059  0.979798  0.009997948  0.009997948  0.000000000  0.989799601  0.989799604 -0.000000004  0.000000122898   101.691094 
 0.099  0.004710157  0.000048035 -0.696571 -0.703196  0.989796  0.009997947  0.009997947 -0.000000000  0.999797548  0.999797552 -0.000000004  0.000000122951   101.646807 
 0.100  0.004758192  0.000048044 -0.703573 -0.710333  0.999794  0.009997946  0.009997947 -0.000000001  1.009795494  1.009795498 -0.000000004  0.000000123005   101.602528 
 0.101  0.004806236  0.000048054 -0.710574 -0.717470  1.009792  0.009997946  0.009997946 -0.000000000  1.019793440  1.019793444 -0.000000005  0.000000123058   101.558255 
 0.102  0.004854290  0.000048063 -0.717574 -0.724609  1.019789  0.009997946  0.009997945  0.000000000  1.029791385  1.029791390 -0.000000005  0.000000123112   101.513990 
 0.103  0.004902353  0.000048072 -0.724573 -0.731748  1.029787  0.009997945  0.009997945  0.000000000  1.039789330  1.039789335 -0.000000005  0.000000123166   101.469732 
 0.104  0.004950425  0.000048082 -0.731572 -0.738888  1.039785  0.009997944  0.009997944 -0.000000000  1.049787274  1.049787279 -0.000000005  0.000000123219   101.425481 
 0.105  0.004998506  0.000048091 -0.738570 -0.746028  1.049783  0.009997943  0.009997944 -0.000000000  1.059785218  1.059785223 -0.000000005  0.000000123273   101.381237 
